"Slug","Title","Image","Image:alt","Content"
"tütün-çiçəyi","Tütün çiçəyi","https://framerusercontent.com/images/vfUyYiowUL52UW4X4f4A5BK3A8.jpg","","<p><br></p>"
"tütəkotu","Tütəkotu","https://framerusercontent.com/images/N9FosU9iaLvNH0SOL3wwzPiH9EY.jpg","","<p><br></p>"
"tərxun","Tərxun","https://framerusercontent.com/images/gYCikFFgQ2i1pkWnjX2cbhV63Q.jpg","","<p><br></p>"
"üzüm","Üzüm","https://framerusercontent.com/images/U6kiExVgrb8eANk6AlwxFrUo7ZU.jpg","","<p><br></p>"
"üzüm-yarpağı","Üzüm yarpağı","https://framerusercontent.com/images/aJGi5sN5DGc3y0xTyOaxcxVQq0.jpg","","<p><br></p>"
"vanil","Vanil","https://framerusercontent.com/images/Wfmqrkc85KosMK3si1pJrsvY.jpg","","<p><br></p>"
"vetivera","Vetivera","https://framerusercontent.com/images/CUOBTBHiH5WEPMwzBpu9XwbZSSE.jpg","","<p><br></p>"
"viski","Viski","https://framerusercontent.com/images/QGv5ewX2ZdUPRKfIAa8u9xVc03M.jpg","","<p><br></p>"
"xiyar","Xiyar","https://framerusercontent.com/images/NeoJX3OXUKTO16EiJP7xvOas9kc.jpg","","<p><br></p>"
"xurma","Xurma","https://framerusercontent.com/images/J0yWfOJ4Z3fQIqNZcfpOL9lYKas.jpg","","<p><br></p>"
"yabanı-çiyələk","Yabanı çiyələk","https://framerusercontent.com/images/lujI8aYpXmQZDGxo7rya6nUIsR0.jpg","","<p><br></p>"
"yaşıl-bibər","Yaşıl bibər","https://framerusercontent.com/images/992Svp3XxgnPu05w4FrnvYv4Q.jpg","","<p><br></p>"
"yaşıl-çay","Yaşıl çay","https://framerusercontent.com/images/zjUKZOzR3siGYYOQjlYXDtdK34.jpg","","<p><br></p>"
"yaşıl-notlar","Yaşıl notlar","https://framerusercontent.com/images/U5S77ttpZoK3imy012GQCHJcs.jpg","","<p><br></p>"
"yasəmən","Yasəmən","https://framerusercontent.com/images/7fflARpO6Jpkyv8XomAy5CGc0U.jpg","","<p><br></p>"
"yemiş","Yemiş","https://framerusercontent.com/images/PTafXD4xIyUxxaWcGA491tA.jpg","","<p><br></p>"
"yerkökü","Yerkökü","https://framerusercontent.com/images/7lgrWaX9z2FGadYQm2Xy26w8.jpg","","<p><br></p>"
"yovşan-artemisia","Yovşan (Artemisia)","https://framerusercontent.com/images/E0G2D8twzsvDv9JnDsssVSGhYn0.jpg","","<p><br></p>"
"zanbaq","Zanbaq","https://framerusercontent.com/images/1GrwSDuhWD3NrohKYDD7wIpTvI.jpg","","<p><br></p>"
